date,median respone time 50,median respone time 95,total rps
2023-01-18 14:00:57.068157,0,0,0
2023-01-18 14:00:58.067871,0,0,0
2023-01-18 14:00:58.384307,0,0,0
2023-01-18 14:00:59.068071,70,98,0.0
2023-01-18 14:00:59.225213,70,98,0.0
2023-01-18 14:01:00.070246,70,98,0.0
2023-01-18 14:01:00.229438,70,98,0.0
2023-01-18 14:01:00.380118,70,98,0.0
2023-01-18 14:01:01.073465,57,98,1.0
2023-01-18 14:01:01.258746,57,98,1.0
2023-01-18 14:01:01.383058,57,98,1.0
2023-01-18 14:01:01.483606,57,98,1.0
2023-01-18 14:01:01.544978,57,98,1.0
2023-01-18 14:01:02.071493,57,98,1.0
2023-01-18 14:01:02.288094,57,98,1.0
2023-01-18 14:01:02.443784,57,98,1.0
2023-01-18 14:01:02.549978,57,98,1.0
2023-01-18 14:01:02.708080,57,98,1.0
2023-01-18 14:01:03.074528,60,87,3.6666666666666665
2023-01-18 14:01:03.247466,60,87,3.6666666666666665
2023-01-18 14:01:03.636794,60,87,3.6666666666666665
2023-01-18 14:01:03.746573,60,87,3.6666666666666665
2023-01-18 14:01:03.861561,60,87,3.6666666666666665
2023-01-18 14:01:04.072006,60,87,3.6666666666666665
2023-01-18 14:01:04.421046,60,87,3.6666666666666665
2023-01-18 14:01:04.541837,60,87,3.6666666666666665
2023-01-18 14:01:04.604948,60,87,3.6666666666666665
2023-01-18 14:01:04.782736,60,87,3.6666666666666665
2023-01-18 14:01:04.930460,60,87,3.6666666666666665
2023-01-18 14:01:05.074471,60,94,7.166666666666667
2023-01-18 14:01:05.117565,60,94,7.166666666666667
2023-01-18 14:01:05.237242,60,94,7.166666666666667
2023-01-18 14:01:05.688011,60,94,7.166666666666667
2023-01-18 14:01:05.959448,60,94,7.166666666666667
2023-01-18 14:01:06.074629,60,94,7.166666666666667
2023-01-18 14:01:06.080795,60,94,7.166666666666667
2023-01-18 14:01:06.249178,60,94,7.166666666666667
2023-01-18 14:01:06.387112,60,94,7.166666666666667
